"Rreg Nr. (Fcode 0x04)",Wertebereich,Zugeordnete Größe und teilw. Einheit,Messwerteigenschaft
0,0 ... 65535,,Gerätekennung Kunden
1,0 ... 65535,,Arbeitsweise (Sensor)
2,0 ..10000,0 .. 10000 ppm,Gaskonzentration im ppm (für CO)
3,0 ... 2500,0 .. 25.00 mA,Berechneter Ausgangsstrom in mA (mit zwei Kommastellen)
4,-200 ... 600,"-20,0 .. 60,0 °C",Interne Leiterplattentemperatur in °C (mit Kommastelle)
5,0 ... 0xffff,,Fehlererkennung CO-Sensor (Bit’s werden gesetzt)
6,0 ..10000,0 .. 10000 ppm,Gaskonzentration im ppm (für NO2)
7,0 ... 2500,0 .. 25.00 mA,Berechneter Ausgangsstrom in mA (mit zwei Kommastellen)
8,0 ... 0xffff,,Fehlererkennung NO2-Sensor (Bit’s werden gesetzt)
,,,
32,0 ... 16384,,AD-Wert der Temperaturmessung
33,0 ... 16384,,AD-Wert des Potentiometers 1
34,0 ... 16384,,AD-Wert des Sensors (CO)
35,50 … 200,"0,50 .. 2,00","Verstärkungsfaktor durch Poti (100 = 1,00)"
36,50 … 200,"0,50 .. 2,00","Verstärkungsfaktor durch Temperaturkennl. 1 (100 = 1,00)"
37,0 ... 16384,,Korrigierter AD-Wert des Sensors CO
38,0 .. 10000,0 .. 10000 ppm,berechnete Gaskonzentration im ppm (für CO)
,,,
41,0 ... 16384,,AD-Wert des Potentiometers_2
42,0 ... 16384,,AD-Wert des Sensors (NO2)
43,50 … 200,"0,50 .. 2,00","Verstärkungsfaktor durch Poti (100 = 1,00)"
44,50 … 200,"0,50 .. 2,00","Verstärkungsfaktor durch Temperaturkennl. 2 (100 = 1,00)"
45,0 ... 16384,,Korrigierter AD-Wert des Sensors NO2
46,0 .. 10000,0 .. 10000 ppm,berechnete Gaskonzentration im ppm (für NO2)
,,,
49,0 .. 31129,,Softwaredatum bis 31.12.2029
